mode,cores,threads,pf,stage,count,avg,std,p50,p90,p99,p999,trimmed_mean
fread,1,2,0.0,3_filesystem,38,80486.9131784617,240740.68906617223,23170.47500592079,120486.4700307885,1071402.7642737802,1441759.6367684163,80486.9131784617
fread,1,2,0.0,4_block_layer,85,3748.1650744871854,3190.537927765805,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3748.1650744871854
fread,1,2,0.0,5_driver_ssd,107,262454.35240351397,171172.0260246594,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,259509.32006631285
fread,1,2,0.0,6_context_switch,3373,6513955.206139397,209087798.38002297,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2938019.0333482777
fread,1,1,1.0,2_kernel_entry,672175,373.26864379110344,217.94027996041143,362.03867196751236,362.03867196751236,724.0773439350247,1448.1546878700494,365.15434589212754
fread,1,1,1.0,3_filesystem,31,54095.58479204895,75906.72033281153,23170.47500592079,92681.90002368316,315118.46008052264,365166.6860933121,54095.58479204895
fread,1,1,1.0,4_block_layer,61,3952.750090661693,3641.864362143296,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3952.750090661693
fread,1,1,1.0,5_driver_ssd,67,183980.4881067143,63028.039764950365,185363.80004736633,185363.80004736633,370727.60009473265,370727.60009473265,183980.4881067143
fread,1,1,1.0,6_context_switch,52,233640821.48037574,1668344268.2414894,11585.237502960395,23170.47500592079,5952710051.029131,11528472805.016752,233640821.48037574
mmap,1,1,0.2,2_kernel_entry,1183,1411.430562226684,1008.5091721253646,724.0773439350247,2896.309375740099,5792.618751480198,5792.618751480198,1371.4436514324887
mmap,1,1,0.2,3_filesystem,48,110240.77561410751,173722.6449718056,23170.47500592079,370727.60009473265,741455.2001894653,741455.2001894653,110240.77561410751
mmap,1,1,0.2,4_block_layer,129,3401.4796156947664,2915.337605534827,2896.309375740099,5792.618751480198,11585.237502960395,11585.237502960395,3358.1224848640113
mmap,1,1,0.2,5_driver_ssd,154,304526.24293495895,490394.0201289735,185363.80004736633,741455.2001894653,741455.2001894653,5137543.082112849,268899.45993713336
mmap,1,1,0.2,6_context_switch,55,220890036.17053533,1623074356.6558247,11585.237502960395,23170.47500592079,5588181016.407968,11492019901.554636,220890036.17053533
fread,2,4,0.6,2_kernel_entry,678506,555.1196318423249,325.895726846142,724.0773439350247,724.0773439350247,724.0773439350247,1448.1546878700494,548.1885624797485
fread,2,4,0.6,3_filesystem,5,97315.99502486731,77750.66860882935,92681.90002368316,185363.80004736633,185363.80004736633,185363.80004736633,97315.99502486731
fread,2,4,0.6,4_block_layer,8,8326.889455252784,4206.5092416396765,11585.237502960395,11585.237502960395,11585.237502960395,11585.237502960395,8326.889455252784
fread,2,4,0.6,5_driver_ssd,9,216257.7667219274,87381.33333333334,185363.80004736633,370727.60009473265,370727.60009473265,370727.60009473265,216257.7667219274
fread,2,4,0.6,6_context_switch,6592,4763487.7982922755,149576438.70104098,2965820.800757861,2965820.800757861,5931641.601515722,5931641.601515722,2915793.8017973844
mmap,2,4,0.6,2_kernel_entry,1125,1576.2359247083339,1249.0746442835982,1448.1546878700494,2896.309375740099,5792.618751480198,11585.237502960395,1526.9301015347849
mmap,2,4,0.6,3_filesystem,25,145278.87828712334,219035.57522438042,23170.47500592079,370727.60009473265,741455.2001894653,741455.2001894653,145278.87828712334
mmap,2,4,0.6,4_block_layer,87,3379.027605030115,3205.7523776039557,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3379.027605030115
mmap,2,4,0.6,5_driver_ssd,106,295532.8510189142,205717.58319734552,185363.80004736633,741455.2001894653,741455.2001894653,741455.2001894653,293195.62603645923
mmap,2,4,0.6,6_context_switch,6711,4752357.298960616,148243002.85187763,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2964918.9242789936
mmap,1,1,0.8,2_kernel_entry,1003,1478.474975452573,1310.6424057134855,1448.1546878700494,2896.309375740099,5792.618751480198,11585.237502960395,1406.9051138513707
mmap,1,1,0.8,3_filesystem,26,168208.73682182882,243466.19955115262,23170.47500592079,556091.400142099,741455.2001894653,741455.2001894653,168208.73682182882
