mode,cores,threads,pf,stage,count,avg,std,p50,p90,p99,p999,trimmed_mean
fread,4,8,0.0,6_context_switch,13479,3827052.6506359675,104606123.5719892,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2951733.6570709683
fread,1,2,0.5,1_user_space,2,69511.42501776238,23170.47500592079,69511.42501776238,88047.805022499,92218.49052356475,92635.55907367132,69511.42501776238
fread,1,2,0.5,2_kernel_entry,2324642,371.23415727133715,300.7087843719677,362.03867196751236,362.03867196751236,362.03867196751236,724.0773439350247,362.0386719675141
fread,1,2,0.5,3_filesystem,31,47835.81936706228,135169.74362700948,5792.618751480198,92681.90002368316,574627.7801468351,724772.4581852037,47835.81936706228
fread,1,2,0.5,4_block_layer,27,6650.784492440227,3985.652138414733,5792.618751480198,11585.237502960395,11585.237502960395,11585.237502960395,6650.784492440227
fread,1,2,0.5,5_driver_ssd,56,560022.1057234604,2178590.49828289,92681.90002368316,370727.60009473265,11863283.203031445,11863283.203031445,560022.1057234604
fread,1,2,0.5,6_context_switch,3417,6367610.329105544,207739789.84546113,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2839306.8246580507
fread,1,2,0.0,1_user_space,2,185363.80004736633,0.0,185363.80004736633,185363.80004736633,185363.80004736633,185363.80004736633,185363.80004736633
fread,1,2,0.0,2_kernel_entry,2533155,370.557851077612,245.23176699787544,362.03867196751236,362.03867196751236,362.03867196751236,724.0773439350247,362.03867196751423
fread,1,2,0.0,3_filesystem,42,50754.37382249316,129297.3005823657,5792.618751480198,176095.61004499788,589456.8841506236,726255.3685855825,50754.37382249316
fread,1,2,0.0,4_block_layer,35,5420.236117456471,3891.0900091866083,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,5420.236117456471
fread,1,2,0.0,5_driver_ssd,64,125265.38050075926,112712.12236489916,92681.90002368316,315118.4600805233,370727.60009473265,370727.60009473265,125265.38050075926
fread,1,2,0.0,6_context_switch,3645,6031474.882714074,201142309.67005703,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2723934.7896409174
fread,1,1,1.0,1_user_space,1,46340.95001184158,0.0,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158
fread,1,1,1.0,2_kernel_entry,2198987,369.03055428474306,242.73203673279892,362.03867196751236,362.03867196751236,362.03867196751236,724.0773439350247,362.0386719675141
